ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
CAA,Capral Limited,Materials,"69,642,000",0.003,,
CAB,Cabcharge Australia,Industrials,"254,109,000",0.012,,
CAD,Caeneus Minerals,Materials,"6,502,820",0.000,,
CAE,Cannindah Resources,Materials,"6,602,370",0.000,,
CAF,Centrepoint Alliance,Financials,"61,988,500",0.003,,
CAG,Caperangeltd,Information Technology,"8,511,700",0.000,,
CAI,Calidus Resources,Materials,"30,276,700",0.001,,
CAJ,Capitol Health,Health Care,"237,759,000",0.012,,
CAM,Clime Capital,,"76,061,500",0.004,,
CAN,Cann Group Limited,Health Care,"331,163,000",0.016,,
CAP,Carpentaria Resource,Materials,"14,142,500",0.001,,
CAQ,CAQ Holdings Limited,Real Estate,"40,196,000",0.002,,
CAR,Carsales.com Limited,Information Technology,"3,554,650,000",0.172,,
CAS,Crusader Resources,Materials,"17,132,300",0.001,,
CAT,Catapult Group Int Limited,Information Technology,"250,073,000",0.012,,
CAV,Carnavale Resources,Materials,"9,629,990",0.000,,
CAY,Canyon Resources Limited,Materials,"30,592,200",0.001,,
CAZ,Cazaly Resources,Materials,"14,282,700",0.001,,
CBA,Commonwealth Bank,Financials,"121,957,000,000",5.908,,
CBC,CBG Capital Limited,,"23,120,400",0.001,,
